,School Name,Location,Latitude,Longitude,Type of School,"2018/19
DSIB Rating"
36,Collegiate American School,Umm Suqueim 3,25.150553,55.207817,  American,Good
37,CREDENCE HIGH SCHOOL,Al Quoz 1,25.152716,55.249404,  Indian,Good
38,Crescent English School,Al Qusais,25.29895973,55.36664963,  Indian,Acceptable
39,Dar Al Marefa School,Mirdif,25.227722,55.431953,  International Baccalaureate,Good
40,Deira International School,Dubai Festival City,25.212747,55.373747,  UK - UK/IB,Very Good
41,Deira private school,Al Twar 1,25.242522,55.3984,  UK,Acceptable
42,Delhi Private School,Jebel Ali,25.039236,55.121742,  Indian,Very Good
43,Dovecote Green Primary School,Dubai Investment Park,24.997031,55.155937,UK,Good
44,Dubai Arabian American Private School,Al Muhaisnah 1,25.24461746,55.41702652,  American,Acceptable
45,Dubai British School,Emirates Hills,25.055206,55.17015,  UK,Outstanding
46,Dubai British School Jumeirah Park,Jumeirah Park,25.23838615,55.42867661,UK,Good
47,Dubai Carmel School,Al Qusais,25.296431,55.379344,  UK,Acceptable
48,Dubai College,Al Sufouh 1,25.110194,55.169042,  UK,Outstanding
49,Dubai English Speaking private college -branch,Academic City,25.105911,55.399886,  UK,Outstanding
50,Dubai English Speaking School,Zabeel 1,25.238244,55.317725,  UK,Outstanding
51,Dubai Gem Private School,Oud Metha,25.235942,55.316167,  UK,Good
52,Dubai International Academy,Emirates Hills,25.077917,55.179,  International Baccalaureate,Not yet inspected
53,Dubai International private School,Al Garhoud,25.248367,55.341864,  American,Acceptable
54,Dubai International private School - BR,Al Quoz 1,25.170089,55.262378,  American,Good
55,Dubai Modern Education School,Al Mizhar 1,25.238822,55.427392,  American - Ministry of Education,Acceptable
56,Dubai National School,Al Barsha 1,25.10691071,55.192436,  American,Good
57,Dubai National School ( Branch),Al Twar 1,25.278803,55.368489,  American,Good
58,Himayah School for Education Girls - Al Karama,Al Mamzar,25.286906,55.338789,  Ministry of Education,NULL
59,Dubai Scholars Private School,Al Qusais,25.280228,55.364739,  UK,Good
60,Elite English School,Deira,25.288842,55.340475,  Indian,Acceptable
61,Emirates International private School L.L.C,Umm Suqueim 1,25.131186,55.203358,  UK/IB,Good
62,Emirates International School (Meadows),Meadows,25.064758,55.156161,  International Baccalaureate,Good
63,English Language Private School,Umm Hurair,25.241956,55.317775,  UK,Acceptable
64,Foremarke School,Dubai Land,25.079647,55.242659,  UK,Very Good
65,GEMS AlBarsha National School for Boys,Al Barsha 2,25.07948112,55.23039246,  UK,NULL
66,Gems Al Barsha National School For Girls,Al Barsha 2,25.07948112,55.23039246,UK,Good
67,GEMS Dubai American Academy,Al Barsha 1,25.114397,55.207717,  American,Outstanding
68,Gems FirstPoint School,Dubai Land,25.088558,55.376547,  UK,Good
69,GEMS Founders School,Al Barsha 2,84.99009705,48.97812271,UK,Good
70,GEMS Heritage  Indian School,Al Khail,25.1236,55.256936,Indian,Good
71,GEMS International School- Al Khail,Al Khail,25.122517,55.255383,  International Baccalaureate,Good
72,GEMS Jumeirah Primary School,Jumeirah 3,25.175947,55.238661,  UK,Outstanding
73,GEMS Metropole School-,Motor City,25.042225,55.244515,  UK,Acceptable
74,GEMS Modern Academy,Nad Al Sheba 1,25.153603,55.376153,  Indian - International Baccalaureate,Outstanding
75,GEMS New Millennium School L.L.C,Al Khail,25.122056,55.253912,  Indian,Good
76,GEMS Our Own English High School,Al Warqa'a 1,25.193408,55.42551,  Indian,Very Good
77,GEMS Our Own Indian School,Al Quoz 1,25.171781,55.260647,  Indian,Good
78,GEMS Royal Dubai School,Mirdif,25.237303,55.438586,  UK,Outstanding
79,GEMS Wellington Academy (Branch),Dubai Silicon Oasis,25.118243,55.388303,  UK - UK/IB,Very Good
80,GEMS Wellington Academy- Al Khail,Al Khail,25.124333,55.254867,  UK,Good
81,GEMS Wellington International School,Al Sufouh 1,25.112042,55.183447,  UK - UK/IB,Outstanding
82,GEMS Wellington Primary School,Al Satwa,25.211233,55.271647,  UK,Very Good
83,GEMS Winchester School,Oud Metha,25.23142,55.321741,  UK,Acceptable
84,GEMS World Academy,Al Barsha 1,25.082225,55.219567,  International Baccalaureate,Very Good
85,German International School Dubai,Academic City,25.10830307,55.40050125,  German,Good
86,Grammar School,Al Garhoud,25.235469,55.351983,  UK,Weak
87,GreenField Community School,Dubai Investment Park,24.983019,55.183838,  International Baccalaureate,Good
88,Greenwood International School,Al Muhaisnah 1,25.244239,55.4183,  American,Good
89,Gulf Indian High School,Al Garhoud,25.23705673,55.34976578,  Indian,Acceptable
90,Gulf Model School,Al Muhaisnah 1,25.27805519,55.40703964,  Indian,Weak
91,H. H. Shaikh Rashid Al Maktoum Pakistani School-Dubai ( English Lang),Al Qusais,25.28512764,55.36993408,  Pakistani,Acceptable
92,Hartland International School,Meydan City,25.17734,55.30524063,UK/IB,Good
93,Horizon International School - LLC,Umm AL Sheif,25.132825,55.204881,  UK,Good
94,Horizons English School,Al Wasl,25.189889,55.250028,  UK,Outstanding
95,International Academic School,Al Warqa'a 1,25.186381,55.403486,  American,Acceptable
96,INTERNATIONAL CONCEPT EDUCATION,Meydan City,25.152522,55.298239,  French - International Baccalaureate,Acceptable
97,International School of Arts & Sciences,Al Warqa'a 1,25.189861,55.401889,  American,Good
98,International School of Creative Science,Nad Al Sheba 3,25.07999992,55.22460175,UK,Good
99,Iranian Khadije Kobra School,Al Karama,25.252825,55.307217,  Iranian,Acceptable
100,Iranian Salman Farsi Boys School,Al Qusais,25.280592,55.370039,  Iranian,Acceptable
101,Iranian Towheed Girls School,Al Karama,25.252983,55.306842,  Iranian,Acceptable
102,Iranian Towheed Boys School,Al Quoz 1,25.174111,55.256994,  Iranian - International Baccalaureate,Good
103,Islamic School for Training & Education,Al Muhaisnah 1,25.252208,55.416992,  Ministry of Education,Acceptable
