School Name,Type,Grades,Location,Region,Curriculum,Lat,Lon
Sheikh Zayed Academy For Boys,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,American,24.4643,54.34982
Shining Star Internationl School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,Indian,24.32092,54.53373
Summit Internation School,Private,KG1- Grade 8,ABU DHABI ISLAND,Abu Dhabi Region,American,24.47927,54.36772
Sunrise English Private School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,Indian,24.3384,54.5308
The American International School in Abu Dhabi,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,"International Baccalaureate,American",24.43,54.4308
"The British International School, Abu Dhabi",Private,KG1- Grade12,ZAYED CITY,Abu Dhabi Region,"International Baccalaureate,British",24.3651,54.564
The British School - Al Khubairat,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,British,24.448,54.3874
The Cambridge High School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,British,24.3461,54.5307
The Elite Private School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,American,24.34661,54.53711
The International School of Choueifat - Abu Dhabi City,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,SABIS,24.4553,54.3823
The International School of Choueifat - Khalifa A,Private,KG1- Grade12,KHALIFA CITY,Abu Dhabi Region,SABIS,24.4138,54.5665
The Iranian Private School,Private,KG2- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,Iranian,24.4754,54.3677
The Model Private School,Private,KG1- Grade12,MOHAMED BIN ZAYED CITY,Abu Dhabi Region,Indian,24.3212,54.5373
The National Torches Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,MoE,24.48895,54.36589
THE PHILIPPINE GLOBAL SCHOOL,Private,KG1- Grade10,ABU DHABI ISLAND,Abu Dhabi Region,Philippine,24.4432,54.4024
The Philippine School,Private,KG1- Grade10,BANIYAS,Abu Dhabi Region,Philippine,24.30221,54.64207
Theodore Monod French Private School,Private,KG1- Grade 9,ABU DHABI ISLAND,Abu Dhabi Region,French,24.457,54.3427
United School of Baniyas,Private,KG1- Grade12,BANIYAS,Abu Dhabi Region,American,24.28594,54.63941
Virginia International Private School,Private,KG1- Grade12,SHAKHBOUT CITY,Abu Dhabi Region,American,24.3904,54.65457
Vision Private School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,MoE,24.4312,54.4042
Yas Academy School,Private,KG1- Grade12,ABU DHABI ISLAND,Abu Dhabi Region,MoE,24.48018,54.38028
